position,requirements,description,benefits
"Director, ACX Creator Marketing",5+ years of experience in consumer marketing or using consumer marketing tactics. 2+ years leading a team. Experience working with creators. Proficiency with Microsoft Office and using data to make decisions. N/A 5+ years in consumer marketing or similar role Attention to detail. Team player. Tech background. Understanding of content monetization. Ability to create new processes. Positive attitude.,"Craft and maintain the ACX marketing roadmap and annual budget. Manage a team to ideate and execute marketing campaigns targeting creators. Oversee creation of educational content, email communications, and event strategy. Guide social media strategy and identify brand ambassadors. Work with product to leverage user feedback.",Không
Search optimization,"2+ years marketing, ebusiness, digital platforms, mobile or social media experience; SEO knowledge and experience with SEO tools like Google Analytics, SEMrush, Search Console, etc.; Project management skills N/A 2+ years marketing, ebusiness, digital platforms, mobile or social media experience 2+ years managing SEO initiatives; Expert knowledge of SEO best practices; Expert technical SEO knowledge; Exceptional project management skills; Excellent communication skills; Strategic thinking and problem solving skills; Ability to manage multiple initiatives; Knowledge of marketing concepts and approaches","Use SEO tools, data and analytics, customer research to create insights and data driven recommendations; Conduct keyword research, search behavior analysis, technical audits and content gap analysis; Present recommendations and advocate for SEO improvements; Provide technical SEO requirements and ensure optimal SEO; Partner with teams to influence SEO strategy implementation; Develop onpage and offpage recommendations; Educate stakeholders on SEO best practices; Provide technical support; Track and report SEO performance","Pay range: $100,000 - $110,000 annual; Benefits include health insurance, retirement plans, and other perks"
Marketing and Visuals Manager for Artist Management Agency,"Bachelors degree in arts-related marketing/communications or any comparable field. 2+ years of experience in creating and managing social media. Strong know how to write effective, entertaining copy for social media content across channels. Strong image and visual editing skills. Awareness of the intricacies of social media platforms and the algorithms. Familiar in optimizing content across all channels. Experience in producing original Instagram posts and story content. Experience in creating marketing plans, strategies and gathering statistics. Results driven, organized and detail-oriented mindset. Exceptional collaboration and relationship-building skills working effectively with artists, agents and our clients. Experience with InDesign, Photoshop, photo/video editing and/or social graphics is a plus. Bachelors degree in arts-related marketing/communications or any comparable field 2+ years of experience in creating and managing social media Experience with InDesign, Photoshop, photo/video editing and/or social graphics","Work closely with artists and agents on developing creative content across different platforms like Facebook, Instagram, Twitter, LinkedIn. Collaborate on executing social media marketing campaigns in connection with our artists work. Monitor response and engagement across all platforms. Track and analyze data to help inform social platform strategy. Develop and execute marketing plans, activations and promotional products.",Không
Senior Systems Administrator,"3+ years systems engineering/admin experience, preferably in web/ecommerce. Strong background with configuration management, containerization, AWS. Unix/Linux administration. Configuration management knowledge. Bash/shell scripting. AWS DynamoDB. Automation workflows, CI/CD pipelines. Git/GitHub workflows. Docker/Kubernetes or similar containerization. Mac OS X familiarity. N/A 3+ years NodeJS/NPM administration. Varnish or caching proxy. Terraform and/or Hashicorp systems. Jira. Jenkins.","Participate in on-call rotation. Interface with other teams to roll out features and infrastructure. Design and implement scalable architectures. Find enhancements and cost savings. Evaluate new technologies, vendors, and initiatives. Offer support for development team deployments.",Không
Windows System Administrator,"2+ years Windows server/Active Directory administration experience, Azure AD, SCCM, Office 365 N/A 2+ years Windows server/Active Directory administration experience N/A","Monitoring systems, troubleshooting issues, responding to service requests, maintaining IT infrastructure, coordinating with teams, administering activities as guided by management, evaluating system capacity.","Health/dental/vision insurance, paid time off, parental leave, life insurance, retirement matching, employee discount, recognition programs, training/development opportunities, tuition assistance."
Director of Development ,"3+ years development experience, grant writing, public speaking, verbal/written communication, self-motivated. N/A 3+ years Event planning, CRM experience.","Develop and implement fundraising strategies and events, cultivate and solicit donors, manage grant processes, build community partnerships.","Salary up to $120k, health insurance, PTO, parental leave."
"Director of Development -Queens, NY #822","at least seven years of proven success with annual and/or capital campaigns, demonstrated experience establishing relationships with individual foundations and corporate major gift funders, demonstrated success in asking for and closing major gifts with individual donors, foundations and corporations, demonstrated ability to develop and successfully implement fundraising strategies, detail-orientated with impeccable oral and written communication and presentation skills, excellent interpersonal skills, experience leading and engaging all stakeholders - lay leaders, colleagues, parents, other donors, partners and volunteers, self-starter with proactive nature and creative approach N/A at least seven years of proven success experience at a Jewish day school a plus","achieving the capital and annual campaign fundraising goals, creating strategies for solicitation purposes, conducting prospect research, preparing proposals, meeting with funders, arranging meetings and following up, coordinating with the board of directors and the executive director in decisions regarding approaches to prospects, commemorative giving and naming opportunities, policies and other issues related to the both the annual and capital campaigns, steward prospects and donors, identify donor needs and responsibilities, oversee the preparation of letters, meetings, site visits and collateral materials, follow up all meetings and events, managing the prospect research and grant writing program, overseeing fundraising operations including donor files and database, gift accounting and acknowledgment, pledge collection, creation of financial records, media archives and other records",Không
Senior Catering Sales Executive,"High school diploma or GED, 2+ years experience in the sales and marketing, guest services, front desk, or related professional area. Or 2-year degree from an accredited university in business administration, marketing, hotel and restaurant management, or related major (no work experience required). High school diploma or GED, or 2-year degree from an accredited university in business administration, marketing, hotel and restaurant management, or related major. 2+ years experience in the sales and marketing, guest services, front desk, or related professional area. 3+ years of catering sales experience","handles more complex social and local corporate catering opportunities that are above sales office parameters (e.g., $5k+). provides day to day supervision to catering sales associates that are onproperty. contracts and closes local catering and social business and verifies that business is turned over properly and in a timely fashion for quality service delivery. achieves catering revenue goals by actively upselling each business opportunity to maximize revenue. implements the brands service strategy and applicable brand initiatives in all aspects of the sales process and drives customer loyalty by delivering service excellence throughout each customer experience.",Không
Patient Engagement Liaison,At least 5 years experience working directly with or within PAOs. Knowledge of pharmaceutical industry drug development and healthcare delivery. Experience working with a clinical development team. N/A Minimum of 5 years experience working directly with or within patient advocacy organizations. Experience working with a clinical development team is a plus.,"Identify and build relationships with patient advocacy organizations (PAOs). Represent the patient voice during drug development. Support patient recruitment, retention and engagement for clinical trials. Facilitate sharing of best practices among PAOs.",Không
"Advocate, Patient Empowerment- REMOTE","College education in business, marketing, sales, healthcare or communications. 2+ years experience in healthcare/sales/customer service. Achievement oriented. Computer proficiency including CRM. Strong communication and interpersonal skills. Integrity and values. Time management. College degree (BA/BS) preferred in business, marketing, sales, healthcare or communications related field. 2+ years of experience required in a complex healthcare/sales/customer service environment. Healthcare services/oncology familiarity preferred. CRM experience (Salesforce). Knowledge and skills: Self-directed, organized, fast-paced, collaborative, adaptable, professionalism, verbal fluency, tenacity.","The patient advocate is the first point of contact for patients and caregivers reaching out to CTCA for information and support. They efficiently manage inbound inquiries, qualify patients, capture patient data, refer leads, and provide resources.",Không
Project Managers,"Hands-on experience in project management, business analysis, program coordination or relevant position. Ability to summarize and present information at the appropriate level of detail for the intended audience across various levels in the organization. Ability to adapt to accommodates different styles and approaches. Strong analytical, problem-solving and facilitation and process management skills required. Knowledge of program management or project management disciplines including development of project plans, assessment and mitigation of risk, effectively meeting management and tracking actions and issues. PMP certification preferred. Strong competency using MS Office tools including Word, Excel, MS Teams, SharePoint. Software ability to work with diversity and multidisciplinary teams. N/A N/A N/A","Support planning and coordination of the overall program including managing open issue and risk logs, developing timelines, charts and status updates as needed. Maintain and update resource tracking documents for the program. Ensure activities are documented to be used to build and refine repeatable processes and capture exceptions and technical variations to streamline improvements going forward. Ensure teams and stakeholders are informed on status, blockers and key decisions on progress. Follow up on open items, risks, issues. Document progress and assist in closing and resolving open issues. Keep stakeholders informed through status reports and other channels. Help build positive relations within the team. Schedule and organize meetings/events and maintain agendas. Support growth and program development.",Không
"Equity Research Associate, Biotechnology","PhD or MD preferred, 2+ years experience in investment banking or equity research, strong work ethic, ability to think critically and creatively, financial modeling and forecasting skills, interest in biotechnology, excellent written and verbal communication skills, ability to thrive in fast-paced environment, solid work ethic, attention to detail, Series 7/63 licensing preferred PhD or MD preferred 2+ years in investment banking or equity research preferred Series 7/63 licensing","Prepare financial models, keep senior analysts updated on news, conduct industry/company research, assist in writing reports, maintain relationships with management teams, industry contacts, sales personnel, and investors",Không
Equity Research Associate - Biotechnology,"Minimum BA/BS degree in life sciences-related field or finance/economics with interest in life sciences, advanced degree in life sciences preferably PhD/MD or alternatively 2+ years of relevant experience, MBA/CFA and/or programming skills in Python/SQL a plus, working experience in biotech/pharma equity research, consulting, investment banking, tech transfer or industry, familiarity with cancer biology or immuno-oncology, proficiency in written/verbal communication and building financial models in Excel, attention to detail, ability to complete work against deadlines, self-driven and motivated, highly collaborative Minimum BA/BS degree in life sciences or finance/economics, advanced degree like PhD/MD preferred 2+ years of relevant experience if no advanced degree MBA/CFA, programming skills in Python/SQL","Conducting proprietary research, evaluating drug pipelines, analyzing scientific literature, attending medical conferences, speaking with key opinion leaders, building and maintaining financial models, writing research reports for initiations of coverage, analysis of data and industry/company news, conceiving and executing on differentiated project ideas, interfacing with company management teams, internal sales and trading personnel, and institutional investors",Không
Work From Home Administrative Assistant Skills (Data Entry - Remote),Basic computer and internet skills. Ability to follow instructions and complete simple tasks independently. High school diploma or GED. Entry-level. Proficiency in Microsoft Word/Excel. Spanish language skills.,"Perform microtasks, online surveys, focus groups, opinion panels, and other small remote tasks. Work flexible hours from home.",Không
"Furniture Sales Associates - Bridgewater, N.J.","Customer service, teamwork, ability to lift up to 50 lbs, sales experience N/A N/A N/A","Process sales, greet customers, manage after-sale issues, assist with opening/closing procedures, review open invoices, engage in deescalation techniques, maintain a clean showroom, support warehouse and delivery drivers, respond to communications, occasional travel to assist other locations","$30,000 per year, 401k matching, dental, employee discount, health insurance, life insurance, professional development assistance, tuition reimbursement, vision insurance"
Furniture Sales Associate,Passion for helping customers with home furnishings. Comprehensive product knowledge. Ability to build long-term customer relationships. Proven sales ability. N/A N/A Experience working in a competitive team sales environment.,"Helping customers furnish rooms or find accent pieces by building relationships, providing advice, and using product knowledge. Staying up-to-date on latest trends.",Không
Sales Associate / Design Consultant - Full Time,"High school diploma required, college preferred. Retail experience. Ability to work nights and weekends. Intermediate computer literacy. Self-motivated with ability to work independently. Ability to work well with others. Willingness to work extended hours. High school diploma required, college preferred. Some work experience in a retail environment. N/A","Maximizing sales and delivering exceptional customer service. Assisting clients with selecting, customizing, and purchasing merchandise. Providing customer service, space planning assistance, and maintaining a sales driven focus.","Base salary plus commission and team bonus. Exceptional advancement opportunities. Competitive earnings, bonus opportunities and employee discount. Medical, dental and life insurance benefits. Retirement program and college savings plan. Paid vacations and holidays for full-time employees."
Customer Service Professional (REMOTE),Previous customer service experience preferred but not required. Excellent verbal and written communication skills required. Strong interpersonal and problem solving skills. Ability to multitask in a fast-paced environment. N/A N/A Attention to detail.,"Identify customers needs and use knowledge database to recommend solutions to customer issues/concerns. Handle large volume of phone calls in accordance with policies and procedures. Answer customer questions regarding products and services. Create tickets in the client database to document customer interactions. Maintain customer accounts (e.g. update contact information, document phone interactions, update special preferences). May sell additional services by recognizing opportunities to upsell accounts, explaining new features.",Salary range for several positions $15 to $17 per hour.
CCRD Customer Service Representative - Work from Home (Remote),Proficient computer and Microsoft Office skills. Excellent communication and interpersonal skills. Critical thinking and problem solving skills. High school diploma or GED required. 1-5 years of contact center/customer service experience. N/A,"Respond to inquiries from healthcare professionals regarding medication prior authorizations via phone, fax and online. Collect clinical data, conduct initial screening of requests, approve requests if criteria is met, and refer complex cases to pharmacists.","Hourly rate anticipated to be $15/hour depending on experience and location. Eligible for annual bonus plan. Benefits include health insurance, 401k with match, paid time off, and other standard employee benefits."
Remote Customer Service Representative ($16/hr),"Excellent communication skills, typing skills (40+ wpm), problem-solving abilities, multitasking, high school diploma or college degree, ability to complete paid training program. High school diploma or college degree. N/A N/A","Handle incoming customer calls and inquiries, provide product/service information, address complaints, troubleshoot issues, process orders and payments.",Không
Part Time Team Member R50775,"Customer service skills, communication skills, ability to lift up to 50 lbs. N/A No experience required. Preferred 1-2 years in customer service. Previous retail or customer service experience.","Interact with customers, process transactions, stock shelves, maintain store appearance, assist other team members.",Không
Assistant Manager(02204) - 620 N Memorial Dr,"Ability to work in a fast-paced environment, work well in teams, operate all job functions in the Dominos system N/A N/A N/A","Learning and operating all functions within the Dominos Pizza store, following Dominos procedures and standards",Không
Travel STNA,Experience working in senior living. Cheerful disposition and love of seniors. N/A N/A N/A,"Resident care and assisting with activities of daily living like bathing, hygiene, meals, activities, appointments, and other daily needs.",Không
RN Supervisor,"RN license in NY state, CPR and IV certifications, strong leadership and excellent clinical skills. Graduation from an accredited program in nursing. Minimum of 1 year long term care RN supervision experience. N/A","Assesses, plans, implements and evaluates the nursing care of residents within the skilled nursing setting. Responsible for ensuring continuity of care of the residents between shifts by providing direct care as well as supervising the care given by CNAs, LPNs and supportive staff members. Participates in resident and family teaching, maintains role as resident advocate with a focus on the facility’s mission.",Không
Design Consultant,"Passion for design, sales experience, communication and interpersonal skills, coordination of colors and textures, computer proficiency. N/A N/A Proven track record of success in sales, polished image, career-minded professionalism, ability to listen and translate customer wants into design choices.",Designing furniture solutions for customers based on their needs and preferences through in-home design consultations. Building relationships with customers and providing excellent service.,"Starting guaranteed salary of $20/hour, incredible bonus opportunities, positive family work environment, retail hours with flexible work schedule, health coverage, tuition assistance, generous employee discounts."
Art Director,"Mastery of integrated multichannel art direction. Proven experience creating big ideas and photo/video art direction for all channels. Photo and video production and editing experience. Excellent problem solving, critical thinking, collaboration and communication skills. Familiarity with history of photography, film and art. N/A 5+ years of experience in integrated multichannel art direction Creative agency or publication experience. Brand-side experience. Experience art directing TV commercials. Established relationships with photographers, videographers and agents.","Craft conceptually powerful, visually stunning art direction for multichannel campaigns. Manage one full-time retoucher. Collaborate with creative team to create on-brief art direction. Deliver artfully crafted assets that elevate each brand and channel.",Company match retirement plan. Generous parental leave and child care stipend. Unlimited PTO. Annual training stipend. Monthly mental health days. Product discount. Wellness stipend. WFH stipend.
Lead Commercial Counsel,"7+ years experience as an in-house commercial counsel or at a law firm, experience leading a commercial legal team, experience with complex technology and data agreements, strong understanding of data privacy N/A 7+ years in a similar in-house or law firm role In-house legal department management experience, experience with large enterprise tech deals and multiparty ecosystems, high volume deal experience using processes and technology","leading and managing the legal commercial team, overseeing and improving legal systems and processes, negotiating complex commercial agreements, acting as a strategic advisor for business stakeholders",Không
Commercial Contracts Lawyer,"5+ years of significant transactional experience preferably in an in-house environment negotiating a wide variety of commercial contracts including but not limited to procurement, customer/sales agreements, NDAs and MSAs. Experience working independently and cross-functionally. Experience taking on complex projects. Excellent interpersonal skills. Active membership and good standing in the state in which you currently reside. N/A 5+ years of significant transactional experience Experience creating contract templates and/or experience managing contract databases is a plus",Working with and advising corporate clients directly as well as the ability to provide entrepreneurial pragmatic business-oriented advice. The ability to thrive in a large fast-paced environment with a high level of professionalism and outstanding business judgment. Maintain strong collaborative relationships with internal business partners and stakeholders.,This role offers competitive compensation and a highly competitive benefits package in the alternative legal services marketplace that includes health benefits and more. Axiomites also get access to professional development tools and resources and learning and development programs. Axiomites predominately work remotely with the exception that some clients require onsite presence.
VP Marketing & Growth,"5+ years experience in media/network marketing and team management. Strong project management, communication, presentation and strategy skills. Solid understanding of analytics and metrics. Collaborative and creative thinker. N/A 5+ years Experience in broadcast/cable news, streaming or related media/marketing fields. Understanding of media and telecommunications landscape.","Develop and execute marketing strategies to drive audience growth, engagement and revenue across linear, OTT and digital platforms. Lead positioning, messaging and creative development. Manage teams and budget. Develop partnerships and campaigns.",Không
"VP, Marketing - Advertising Revenue","Experience in digital media advertising, especially working with ad sales teams. Strategic, solutions-oriented thinker. Excellent communicator and storyteller. Strong project management and leadership skills. N/A Proven experience in marketing leadership role. Relationships across media/advertising industry. Knowledge of qualitative and quantitative research. Creative communication skills for client presentations and pitches.","Lead marketing for ad revenue organization. Drive revenue by partnering with sales and planning teams to deliver proposals. Manage marketing activations, operations, integrated marketing and research. Partner with executive team on voice and growth strategy.","Competitive total rewards including unlimited PTO, 401k match, healthcare."
Grocery Inventory clerk Part Time,"Attention to detail, organization, customer service skills. High school diploma or equivalent. N/A Previous experience in retail or inventory management.","Performing inventory counts, stocking shelves, rotating inventory, assisting customers.",Không
Restaurant Operations Manager,"Proficiency in Microsoft Office. Ability to lead, motivate, empower crewmembers, problem solve, set goals, convert plans to action, knowledge of labor laws and staffing, scheduling, cost management. Minimum of high school diploma or equivalent required, some college preferred. 2+ years restaurant or retail management preferred. New restaurant opening experience.","Lead shifts at the restaurant including operations, upholding standards, training crewmembers, assessing areas of opportunity, inventory counts, vendor orders, cleanliness, and maintenance issues. Convey company culture and lead the rewards program for crewmembers.","Medical, dental, vision, pharmacy benefits, 401k with match, tuition reimbursement, life insurance, disability insurance, employee discount program, paid time off, holidays."
Assistant Manager,"Leadership, management, high energy, high standards. N/A N/A N/A","Assist with running the restaurant, leading shifts, developing team members and shift managers.","Monthly bonuses, paid time off, 401k with company match, daily pay, medical, dental, vision, life insurance."
Retail Sales Associate - Part time,"Excellent customer service, flexible schedule, strong organizational and communication skills, ability to handle multiple tasks, respond to changes, lift heavy objects. N/A N/A Retail customer experience preferred.","Day-to-day responsibilities include engaging with customers, supporting a positive store culture, accurately ringing up purchases, preparing merchandise, maintaining store cleanliness and recovery standards, supporting shrink reduction goals, and performing other duties as needed.",Không
CNC Programmer Machinist,"2 years of machine shop experience. 2 years of CNC machine operation experience. Education and/or training in machine shop operations. Experience in a self-directed team environment. CNC training or 2 years experience (Haas interface preferred but not required). Capable of producing parts with tight tolerances (25 microns / .001"") and fine finishes. Ability and willingness to use basic hand tools and measuring devices (i.e. dial calipers, protractors, micrometers, gauges, etc.) as required. Understanding of blueprint process sheet and engineering drawings interpretation. Prior working knowledge of machine shop operations, tool selection and equipment settings. N/A 2 years of machine shop experience. 2 years of CNC machine operation experience. N/A","Program and operate CNC mill axis and CNC lathe for the manufacturing of unique parts. Operate any type and size of single spindle or multiple spindles on a variety of operations (drilling, reaming, boring, tapping, spot facing, countersinking, etc.). Operate machine shop in a fast pace environment for quick turnaround parts. Operate multiple machines concurrently. Work with design engineers to machine parts for R&D. Organize tool and equipment maintenance and upkeep of raw material stock. Optimize machining time of parts. Perform job responsibilities according to internal process specifications.","Competitive salary (will be commensurate with experience and education). Comprehensive benefits package available (healthcare, vision, dental and life insurances, PTO and holidays)."
Systems Programmer,"2+ years experience with C# and .NET web application development. Experience with database design and management, Microsoft SQL Server. Experience integrating APIs like Google Maps. Experience with web services. 1+ year experience briefing management. N/A 2+ years of relevant work experience in fields like mission assurance, defense critical infrastructure, and critical infrastructure protection. DoD operations experience. Experience briefing senior management and flag officers.","Support the mission assurance program by providing analysis and administration. Compile, analyze and translate critical infrastructure risk data into options. Plan and coordinate defense critical infrastructure activities. Develop dynamic web applications using C# and SQL Server.","Retirement savings plan, commuter benefits, eligibility for medical/dental/vision insurance."
CNC Programmer,"2 years of machine shop experience in a manufacturing environment or equivalent, 2 years of CNC machine operation experience, education and/or training in machine shop operations, experience in a self-directed team environment, lean manufacturing knowledge N/A 2 years of CNC machine operation experience CNC training or 2 years experience (Haas interface preferred but not required), capable of producing parts with tight tolerances (±0.01 mm) and fine finishes, ability and willingness to use basic hand tools and measuring devices (i.e. dial calipers, protractors, micrometers, gauges, etc.) as required, understanding of blueprint, process sheet and engineering drawings interpretation, prior working knowledge of machine shop operations, tool selection and equipment settings","fully operate 5-axis CNC in the order of making parts, operate any type and size of single spindle or multiple spindle on a variety of operations drilling reaming boring tapping spot facing countersinking etc, use all tools jigs fixtures and gauges necessary to perform operations, work with close tolerances and fine finishes, perform tool offset and load parts, perform job responsibilities according to internal process specifications, utilize proper ppe safety equipment and follow safety procedures","Competitive salary (will be commensurate with experience and education), comprehensive benefits package available (healthcare, vision, dental and life insurances, PTO and holidays)"
Mainframe Programmer Analyst,"Cobol, Cobol II, JCL, JCL Procs, IBM Utilities, Sync Sort Utility, File Aid Utility, CICS, SQL, SPUFI, QMF Utilities, VSAM, TSO/ISPF, OS/MVS Baccalaureate degree in computer science, information systems, engineering, mathematics or related field. 6 years with baccalaureate degree, 10 years without Experience as mainframe programmer analyst on at least 3 full life cycle projects. Understanding of SDLC methodologies. Strong analytical and problem solving skills. Excellent written and verbal communication skills. Accounting and/or budgeting application experience.",#NAME?,Không
Animation Programmer,"3 or more years of video game programming experience, strong modern C++ skills, gameplay or animation programming experience, good understanding of game design, located and authorized for work in the US or Canada N/A 3 or more years of video game programming experience Experience with Unreal Engine, experience working on an animation state machine, Bachelors degree in Computer Science or equivalent, at least one shipped AAA game","Develop animation logic for gameplay and combat features in Unreal Engine, own the animation state graph in Unreal Engine, support technical animator with tools to optimize DCC to Unreal workflows, architect and write core animation code specific to our games anime style, work with our animation and gameplay teams to maintain stability and performance, participate in defining our game design","Competitive salary, PTO unlimited sick days and healthy work life balance, comprehensive health coverage, flexible work-from-home options"
Senior Statistical Programmer,"Proficiency in SAS programming. Knowledge of CDISC/SDTM standards. Strong leadership skills. Excellent analytical and time management skills. N/A 5+ years of SAS programming experience. 2+ years experience with ADaM, CDISC, or SDTM. Lead experience in a pharma setting. Attention to detail. Ability to be self-driven and organized. Excellent verbal and written communication skills.",Support the programming and reporting process for clinical trials. Lead a statistical programming team. Ensure timelines and budgets are met. Maintain documentation and ensure regulatory compliance.,Không
Programmer Analyst with R Consultant,"2+ years of R programming experience. Experience with dplyr and testthat R packages preferred. Ability to read and understand SAS code is required. Experience with SQL is helpful. N/A 2+ years of R programming experience Experience with sparklyr or dbplyr R packages. Experience with other languages like C. Experience with agile, kanban, lean, scrum methodologies.",Translate methodology code from SAS to R and confirm that the resulting translation is equivalent to the original. Receive task assignments and track time spent on each task. Review existing code and data and ask for clarifications prior to translating code. Prepare test cases for each module prior to translation. Follow example coding patterns and programming style guides when translating code.,Không
Inbound Claims & Call Center Representative (iCare),"2+ years customer service experience in a call center setting with general health insurance knowledge including claims and benefits. Experience with Medicaid, Medicare, or commercial insurance. Strong communication skills. Basic computer skills including Microsoft Office. N/A 2+ years customer service experience in a call center setting Bilingual English/Spanish. Previous experience with Microsoft Access.","Answer phone inquiries related to benefits, eligibility, claims, and provide support to providers on eligibility, authorizations, and portal usage. Research issues, coordinate across teams to resolve requests. Document member information and interactions.","Sign-on bonus, medical/dental/vision insurance, PTO, 401k with match, tuition reimbursement."
"Acquisitions, Associate","- 2+ years of experience within real estate investments preferably on the investment banking or acquisitions side
- Extensive experience closing commercial real estate transactions 
- Solid understanding of Excel with financial modeling and spreadsheet analysis experience
- Strong written and verbal communication skills N/A 2+ years - Distinctive problem-solving, strategic and analytical capabilities, track record of building trusted relationships with a variety of contacts and executive stakeholders
- Ability to simplify complex ideas into presentable messages
- Commitment to diversity in team building process",#NAME?,Không
Senior Accountant (Remote),"3-5 years of accounting experience including 1-2 years of relevant month-end close experience or audit experience. CPA preferred. Strong knowledge of GAAP. Strong communication, interpersonal, time management, problem solving, analytical and written skills. N/A 3-5 years of accounting experience including 1-2 years of relevant month-end close experience or audit experience CPA preferred",Perform month-end close activities including preparation of journal entries and reconciliations. Review revenue contracts and transactions for compliance with revenue recognition policies. Prepare accounting analyses and memos related to revenue recognition. Create and maintain commission calculation files for compensation plans. Participate in process improvement projects enhancing internal controls.,Không
Staff Accountant,"Accounting knowledge and practices, Microsoft Excel skills, ability to manipulate and analyze large datasets Degree in accounting, finance or related field N/A NetSuite, Bill.com, Namely and TripActions knowledge","Perform bookkeeping functions on cash and expenses, reconcile accounts, record accruals, analyze and record marketing expenses, support foreign operations, reconcile corporate cards, facilitate report development, support accounting team members on ad hoc projects",Không
Vice President Marketing,"10+ years of marketing/agency experience, demonstrated leadership and experience in brand management, demonstrated leadership and experience in running successful lead generation programs N/A 10+ years of experience Ability to thrive in a fast-paced environment with the ability to manage multiple priorities, proactively identify business/marketing opportunities and create action plans, manage and plan at both the strategic and operational levels","Lead creative-design strategy, infuse passion creativity and innovation into our business, simplify complexity at all levels of the organization, collaborate with executive leadership, product management, sales and support teams, support SDR team with persona/solution-based outreach tactics, strategies and tools, develop KPIs capable of influencing strategic decision making",Không
Vice President Marketing,"5+ years experience at a top-tier, preferably enterprise SaaS company or equivalent marketing role at top-tier organization. Experience bringing new complex products to market and scaling brands. A track record of building successful ABM, competitive positioning, demand generation, and sales enablement strategies. High proficiency with Google Analytics, HubSpot, and the Microsoft Office suite (Excel, PowerPoint, Word). High capacity to learn and incorporate new technology tools into workflow (Slack, Wrike, GitHub, ZenHub, Webflow, etc.). Demonstrated excellent written and verbal communications skills. N/A 5+ years Passion for building a world-class company and marketing organizations that will always be chasing excellence.","Develop, manage and hire for the marketing department spanning product, content, design, demand generation, communications and more. Be responsible for meeting and measuring KPIs and quotas across the marketing department. Some KPIs and quotas will be tied to the sales department as well. Allocate, track and manage budget spend accordingly to reach KPI goals.",Không
Commercial Real Estate Attorney,"2-3 years of legal experience in general commercial real state transactions including joint ventures, commercial leases, financings, acquisitions and dispositions, familiarity with various transactions legal documents relating to the foregoing practice areas, strong analytical and problem solving skills, ability to build rapport with clients, excellent written and verbal communication skills N/A 2-3 years N/A","Prepare and draft legal documents on behalf of clients, advise clients on business and legal transactions, negotiate a variety of transactions including joint ventures, commercial leases, financings, acquisitions and dispositions, facilitate and attend closings, participate in business develop activities",Không
Real Estate Attorney (4+ yrs),"At least 3 years of experience handling commercial real estate transactions including sales, acquisitions, leasing, and financing. N/A At least 3 years of experience in commercial real estate law N/A","Handling sales and acquisitions of commercial properties, commercial leasing, financing transactions, and related areas of commercial real estate law.",Không
Career Coach (Remote), years of work experience which may include a background in career coaching workforce development human resources social work cognitive-behavioral therapy or another field that has directly supported adults facing career transitions; a contagious positive attitude and is a natural motivator; a skilled and empathetic listener with experience in the art of asking effective questions; the ability to build trust and connection quickly and has an intrinsic empathy for the student experience; strong familiarity with navigating linkedin and experience with resume review and critique; a good grasp on navigating google sheets and a strong attention to detail highly organized and a quick learner; comfortable with ambiguity and new or changing processes and has demonstrated good judgment around when to make a decision and when to escalate or ask for help N/A years of work experience which may include a background in career coaching workforce development human resources social work cognitive-behavioral therapy or another field that has directly supported adults facing career transitions experience supporting it/cybersecurity clients is preferred,conduct detailed resume and linkedin reviews as well as mock cultural interviews providing clear and actionable feedback; advise students on the job search process answer questions and equip them with the tools and resources needed to land a fulfilling job in their chosen discipline; partner with students to help them leverage their existing networks and build new relationships to source job opportunities and to manage a pipeline of opportunities from identification outreach or application to close job offer,Expected compensation range: $20-30/hourly. For benefits information visit [website].
Career Coach (100% Remote / Pharmacy),"Previous mentoring/coaching experience in pharmacy. Passion for helping others. Strong communication skills. Expert knowledge of resumes, cover letters, LinkedIn, networking, interviewing, etc. N/A N/A Managerial experience. Ability to work with pharmacists at various skill levels and career stages.","Mentor and coach other pharmacists on career development topics including resume writing, cover letters, networking, interview preparation, etc. Guide clients to achieve career goals and job search success.",Competitive pay. Flexible/remote schedule. Ongoing training and career development opportunities. Contract role.
Healthcare Administrative Assistant – Urgent Hiring,High school diploma or equivalent. Strong interpersonal and communication skills. Time management and organizational skills. Ability to multitask efficiently. High school diploma or equivalent. N/A Previous experience with patient registration.,"Travel to various sites to perform administrative duties. Assist with patient screening, registration, and questions. Maintain patient confidentiality and adhere to HIPAA guidelines. Assist with vaccine administration and health education. Document and chart patient vaccinations.",Không
Administrative assistant,Prior front desk administrative and office experience. High school diploma. Excellent communication skills. Solid computer and basic mathematical skills. High school diploma. N/A Flexible schedule is a must. Very positive attitude with an ability to work in a fastpaced environment.,"Greets visitors, prospective candidates and other visitors, answers telephones and directs the caller to the appropriate associate. Maintains and manages calendars for conference rooms, receives, sorts and forwards incoming mail, coordinates the pickup and delivery of express mail services (Fedex, UPS, etc.). Assisting in the payroll process for facility workers.",Không
Administrative Assistant - Remote / Online / Work From Home (PT/FT),"No specific technical skills mentioned. Ability to work independently and as part of a team, work at a fast pace, prioritize tasks. No HS diploma or GED required. Prior experience in retail/wholesale preferred but not required. N/A","Monitor employee dashboard, receive shipments, inspect packages, process orders, deliver packages, work from home office.","Hourly pay, flexible hours, health insurance, paid time off, employee benefits, opportunity for advancement."
